date,hour,energy_kWh
2018-08-04,13,0.51
2018-08-04,14,0.43
2018-08-04,15,0.42
2018-08-04,16,0.41
2018-08-04,17,0.61
2018-08-04,18,0.53
2018-08-04,19,0.46
2018-08-04,20,0.43
2018-08-04,21,0.58
2018-08-04,22,0.46
2018-08-04,23,0.47
2018-08-05,00,0.47
2018-08-05,01,0.62
2018-08-05,02,0.48
2018-08-05,03,0.41
2018-08-05,04,0.46
2018-08-05,05,0.55
2018-08-05,06,0.47
2018-08-05,07,0.44
2018-08-05,08,0.42
2018-08-05,09,0.46
2018-08-05,10,0.50
2018-08-05,11,0.44
2018-08-05,12,0.47
2018-08-05,13,0.42
2018-08-05,14,0.58
2018-08-05,15,0.48
2018-08-05,16,0.46
2018-08-05,17,0.47
2018-08-05,18,0.56
2018-08-05,19,0.53
2018-08-05,20,0.47
2018-08-05,21,0.48
2018-08-05,22,0.54
2018-08-05,23,0.49
2018-08-06,00,0.44
2018-08-06,01,0.54
2018-08-06,02,0.61
2018-08-06,03,0.51
2018-08-06,04,0.47
2018-08-06,05,0.57
2018-08-06,06,0.45
2018-08-06,07,0.46
2018-08-06,08,0.42
2018-08-06,09,0.54
2018-08-06,10,0.45
2018-08-06,11,0.47
2018-08-06,12,0.51
2018-08-06,13,0.62
2018-08-06,14,0.44
2018-08-06,15,0.46
2018-08-06,16,0.46
2018-08-06,17,0.56
2018-08-06,18,0.44
2018-08-06,19,0.50
2018-08-06,20,0.48
2018-08-06,21,0.57
2018-08-06,22,0.45
2018-08-06,23,0.49
2018-08-07,00,0.52
2018-08-07,01,0.53
2018-08-07,02,0.49
2018-08-07,03,0.46
2018-08-07,04,0.50
2018-08-07,05,0.54
2018-08-07,06,0.48
2018-08-07,07,0.53
2018-08-07,08,0.50
2018-08-07,09,1.79
2018-08-07,10,0.55
2018-08-07,11,0.48
2018-08-07,12,0.45
2018-08-07,13,0.60
2018-08-07,14,0.46
2018-08-07,15,0.46
2018-08-07,16,0.48
2018-08-07,17,0.60
2018-08-07,18,0.47
2018-08-07,19,0.49
2018-08-07,20,0.51
2018-08-07,21,0.60
2018-08-07,22,0.49
2018-08-07,23,0.55
2018-08-08,00,0.57
2018-08-08,01,0.56
2018-08-08,02,0.49
2018-08-08,03,0.48
2018-08-08,04,0.57
2018-08-08,05,0.49
2018-08-08,06,0.47
2018-08-08,07,1.88
2018-08-08,08,2.23
2018-08-08,09,2.28
2018-08-08,10,2.36
2018-08-08,11,2.42
2018-08-08,12,2.60
2018-08-08,13,3.03
2018-08-08,14,1.96
2018-08-08,15,0.63
2018-08-08,16,0.77
2018-08-08,17,0.67
2018-08-08,18,0.62
2018-08-08,19,0.66
2018-08-08,20,0.72
2018-08-08,21,0.59
2018-08-08,22,0.54
2018-08-08,23,0.58
2018-08-09,00,0.71
2018-08-09,01,0.55
2018-08-09,02,0.59
2018-08-09,03,0.72
2018-08-09,04,0.59
2018-08-09,05,0.58
2018-08-09,06,0.57
2018-08-09,07,3.00
2018-08-09,08,3.60
2018-08-09,09,3.37
2018-08-09,10,3.14
2018-08-09,11,3.71
2018-08-09,12,
2018-08-09,13,3.26
2018-08-09,14,2.87
2018-08-09,15,0.75
2018-08-09,16,0.69
2018-08-09,17,0.62
2018-08-09,18,0.63
2018-08-09,19,0.85
2018-08-09,20,0.60
2018-08-09,21,0.64
2018-08-09,22,0.62
2018-08-09,23,0.81
2018-08-10,00,0.64
2018-08-10,01,0.64
2018-08-10,02,0.67
2018-08-10,03,0.64
2018-08-10,04,0.58
2018-08-10,05,0.60
2018-08-10,06,0.66
2018-08-10,07,1.85
2018-08-10,08,2.01
2018-08-10,09,1.94
2018-08-10,10,2.55
2018-08-10,11,2.50
2018-08-10,12,2.59
2018-08-10,13,2.54
2018-08-10,14,2.45
2018-08-10,15,1.74
2018-08-10,16,1.58
2018-08-10,17,1.52
2018-08-10,18,1.67
2018-08-10,19,1.41
2018-08-10,20,0.55
2018-08-10,21,0.58
2018-08-10,22,0.72
2018-08-10,23,0.61
2018-08-11,00,0.62
2018-08-11,01,0.66
2018-08-11,02,0.75
2018-08-11,03,0.58
2018-08-11,04,0.54
2018-08-11,05,0.63
2018-08-11,06,0.72
2018-08-11,07,0.60
2018-08-11,08,0.56
2018-08-11,09,0.60
2018-08-11,10,1.52
2018-08-11,11,1.04
2018-08-11,12,0.52
2018-08-11,13,0.54
2018-08-11,14,0.55
2018-08-11,15,0.64
2018-08-11,16,0.54
2018-08-11,17,0.57
2018-08-11,18,0.59
2018-08-11,19,0.61
2018-08-11,20,0.53
2018-08-11,21,0.60
2018-08-11,22,0.61
2018-08-11,23,0.66
2018-08-12,00,0.55
2018-08-12,01,0.52
2018-08-12,02,0.58
2018-08-12,03,0.66
2018-08-12,04,0.53
2018-08-12,05,0.53
2018-08-12,06,0.55
2018-08-12,07,0.58
2018-08-12,08,0.55
2018-08-12,09,0.54
2018-08-12,10,0.58
2018-08-12,11,0.59
2018-08-12,12,0.61
2018-08-12,13,0.52
2018-08-12,14,
2018-08-12,15,1.01
2018-08-12,16,0.76
2018-08-12,17,0.61
2018-08-12,18,0.48
2018-08-12,19,0.52
2018-08-12,20,0.54
2018-08-12,21,0.60
2018-08-12,22,0.49
2018-08-12,23,0.50
2018-08-13,00,0.54
2018-08-13,01,0.60
2018-08-13,02,0.51
2018-08-13,03,0.53
2018-08-13,04,0.51
2018-08-13,05,0.50
2018-08-13,06,0.59
2018-08-13,07,2.06
2018-08-13,08,2.70
2018-08-13,09,2.60
2018-08-13,10,2.63
2018-08-13,11,2.66
2018-08-13,12,2.36
2018-08-13,13,2.62
2018-08-13,14,2.57
2018-08-13,15,0.66
2018-08-13,16,0.62
2018-08-13,17,0.56
2018-08-13,18,0.60
2018-08-13,19,0.63
2018-08-13,20,0.64
2018-08-13,21,0.57
2018-08-13,22,0.67
2018-08-13,23,0.64
2018-08-14,00,0.70
2018-08-14,01,0.59
2018-08-14,02,0.62
2018-08-14,03,0.58
2018-08-14,04,0.74
2018-08-14,05,0.61
2018-08-14,06,0.62
2018-08-14,07,2.03
2018-08-14,08,2.51
2018-08-14,09,2.40
2018-08-14,10,1.57
2018-08-14,11,2.74
2018-08-14,12,1.96
2018-08-14,13,2.20
2018-08-14,14,1.27
2018-08-14,15,0.50
2018-08-14,16,0.50
2018-08-14,17,0.62
2018-08-14,18,0.55
2018-08-14,19,0.48
2018-08-14,20,0.51
2018-08-14,21,0.58
2018-08-14,22,0.55
2018-08-14,23,0.59
2018-08-15,00,0.53
2018-08-15,01,0.55
2018-08-15,02,0.59
2018-08-15,03,0.50
2018-08-15,04,0.51
2018-08-15,05,0.52
2018-08-15,06,0.57
2018-08-15,07,1.76
2018-08-15,08,2.53
2018-08-15,09,2.42
2018-08-15,10,2.59
2018-08-15,11,2.40
2018-08-15,12,2.41
2018-08-15,13,2.39
2018-08-15,14,2.21
2018-08-15,15,0.57
2018-08-15,16,0.54
2018-08-15,17,0.54
2018-08-15,18,0.64
2018-08-15,19,0.52
2018-08-15,20,0.47
2018-08-15,21,0.50
2018-08-15,22,0.62
2018-08-15,23,0.49
2018-08-16,00,0.52
2018-08-16,01,0.47
2018-08-16,02,0.59
2018-08-16,03,0.52
2018-08-16,04,0.47
2018-08-16,05,0.45
2018-08-16,06,0.57
2018-08-16,07,1.47
2018-08-16,08,1.99
2018-08-16,09,1.92
2018-08-16,10,1.90
2018-08-16,11,1.82
2018-08-16,12,1.87
2018-08-16,13,1.92
2018-08-16,14,1.68
2018-08-16,15,0.64
2018-08-16,16,0.58
2018-08-16,17,0.59
2018-08-16,18,0.55
2018-08-16,19,0.59
2018-08-16,20,0.53
2018-08-16,21,0.49
2018-08-16,22,0.56
2018-08-16,23,0.58
2018-08-17,00,0.50
2018-08-17,01,0.51
2018-08-17,02,0.53
2018-08-17,03,0.64
2018-08-17,04,0.58
2018-08-17,05,0.48
2018-08-17,06,0.50
2018-08-17,07,1.35
2018-08-17,08,1.51
2018-08-17,09,1.54
2018-08-17,10,1.62
2018-08-17,11,1.95
2018-08-17,12,1.54
2018-08-17,13,1.35
2018-08-17,14,1.01
2018-08-17,15,0.56
2018-08-17,16,0.60
2018-08-17,17,0.57
2018-08-17,18,0.52
2018-08-17,19,0.54
2018-08-17,20,0.59
2018-08-17,21,0.65
2018-08-17,22,0.59
2018-08-17,23,0.53
2018-08-18,00,0.58
2018-08-18,01,0.62
2018-08-18,02,0.60
2018-08-18,03,0.62
2018-08-18,04,0.54
2018-08-18,05,0.58
2018-08-18,06,0.57
2018-08-18,07,0.52
2018-08-18,08,0.50
2018-08-18,09,0.53
2018-08-18,10,0.61
2018-08-18,11,0.52
2018-08-18,12,0.87
2018-08-18,13,1.18
2018-08-18,14,0.58
2018-08-18,15,0.68
2018-08-18,16,0.58
2018-08-18,17,0.59
2018-08-18,18,1.08
2018-08-18,19,1.05
2018-08-18,20,0.70
2018-08-18,21,0.66
2018-08-18,22,0.69
2018-08-18,23,0.69
2018-08-19,00,0.75
2018-08-19,01,0.65
2018-08-19,02,0.71
2018-08-19,03,0.68
2018-08-19,04,0.73
2018-08-19,05,0.66
2018-08-19,06,0.71
2018-08-19,07,0.64
2018-08-19,08,0.64
2018-08-19,09,0.75
2018-08-19,10,0.68
2018-08-19,11,0.66
2018-08-19,12,0.64
2018-08-19,13,0.74
2018-08-19,14,0.77
2018-08-19,15,0.84
2018-08-19,16,0.68
2018-08-19,17,0.71
2018-08-19,18,0.70
2018-08-19,19,0.73
2018-08-19,20,0.67
2018-08-19,21,0.69
2018-08-19,22,0.68
2018-08-19,23,0.79
2018-08-20,00,0.67
2018-08-20,01,0.64
2018-08-20,02,0.71
2018-08-20,03,0.69
2018-08-20,04,0.72
2018-08-20,05,0.65
2018-08-20,06,0.68
2018-08-20,07,0.68
2018-08-20,08,0.68
2018-08-20,09,0.99
2018-08-20,10,0.81
2018-08-20,11,0.69
2018-08-20,12,0.63
2018-08-20,13,0.67
2018-08-20,14,0.72
2018-08-20,15,0.62
2018-08-20,16,0.69
2018-08-20,17,0.74
2018-08-20,18,0.69
2018-08-20,19,0.65
2018-08-20,20,0.69
2018-08-20,21,0.70
2018-08-20,22,0.71
2018-08-20,23,0.64
2018-08-21,00,0.65
2018-08-21,01,0.73
2018-08-21,02,0.79
2018-08-21,03,0.66
2018-08-21,04,0.69
2018-08-21,05,0.75
2018-08-21,06,0.74
2018-08-21,07,1.02
2018-08-21,08,1.24
2018-08-21,09,1.46
2018-08-21,10,1.29
2018-08-21,11,1.46
2018-08-21,12,1.31
2018-08-21,13,1.27
2018-08-21,14,1.16
2018-08-21,15,0.67
2018-08-21,16,0.64
2018-08-21,17,0.61
2018-08-21,18,0.78
2018-08-21,19,0.67
2018-08-21,20,0.63
2018-08-21,21,0.60
2018-08-21,22,0.71
2018-08-21,23,0.68
2018-08-22,00,0.64
2018-08-22,01,0.66
2018-08-22,02,0.71
2018-08-22,03,0.65
2018-08-22,04,0.62
2018-08-22,05,0.62
2018-08-22,06,0.70
2018-08-22,07,1.40
2018-08-22,08,1.62
2018-08-22,09,1.67
2018-08-22,10,1.96
2018-08-22,11,1.89
2018-08-22,12,1.74
2018-08-22,13,1.70
2018-08-22,14,1.52
2018-08-22,15,0.95
2018-08-22,16,0.87
2018-08-22,17,1.00
2018-08-22,18,1.15
2018-08-22,19,0.90
2018-08-22,20,0.84
2018-08-22,21,0.79
2018-08-22,22,0.81
2018-08-22,23,
2018-08-23,00,0.90
2018-08-23,01,0.77
2018-08-23,02,0.78
2018-08-23,03,0.80
2018-08-23,04,0.90
2018-08-23,05,0.75
2018-08-23,06,0.79
2018-08-23,07,1.45
2018-08-23,08,1.76
2018-08-23,09,1.93
2018-08-23,10,1.92
2018-08-23,11,2.30
2018-08-23,12,2.22
2018-08-23,13,2.04
2018-08-23,14,1.57
2018-08-23,15,0.68
2018-08-23,16,0.46
2018-08-23,17,0.47
2018-08-23,18,0.44
2018-08-23,19,0.55
2018-08-23,20,0.49
2018-08-23,21,0.53
2018-08-23,22,0.51
2018-08-23,23,0.54
2018-08-24,00,0.51
2018-08-24,01,0.47
2018-08-24,02,0.47
2018-08-24,03,0.48
2018-08-24,04,0.44
2018-08-24,05,0.52
2018-08-24,06,0.49
2018-08-24,07,0.71
2018-08-24,08,1.00
2018-08-24,09,1.13
2018-08-24,10,1.08
2018-08-24,11,1.18
2018-08-24,12,1.21
2018-08-24,13,1.40
2018-08-24,14,1.20
2018-08-24,15,0.78
2018-08-24,16,0.84
2018-08-24,17,0.82
2018-08-24,18,0.80
2018-08-24,19,0.80
2018-08-24,20,0.78
2018-08-24,21,0.91
2018-08-24,22,0.79
2018-08-24,23,0.75
2018-08-25,00,0.81
2018-08-25,01,0.82
2018-08-25,02,0.88
2018-08-25,03,0.81
2018-08-25,04,0.78
2018-08-25,05,0.82
2018-08-25,06,0.88
2018-08-25,07,0.84
2018-08-25,08,0.84
2018-08-25,09,0.80
2018-08-25,10,0.74
2018-08-25,11,0.79
2018-08-25,12,0.75
2018-08-25,13,0.91
2018-08-25,14,0.81
2018-08-25,15,0.80
2018-08-25,16,0.74
2018-08-25,17,0.79
2018-08-25,18,0.72
2018-08-25,19,0.86
2018-08-25,20,0.79
2018-08-25,21,0.73
2018-08-25,22,0.79
2018-08-25,23,0.74
2018-08-26,00,0.82
2018-08-26,01,0.84
2018-08-26,02,0.79
2018-08-26,03,0.76
2018-08-26,04,0.91
2018-08-26,05,0.77
2018-08-26,06,0.88
2018-08-26,07,0.74
2018-08-26,08,0.78
2018-08-26,09,0.73
2018-08-26,10,0.77
2018-08-26,11,0.74
2018-08-26,12,0.86
2018-08-26,13,0.74
2018-08-26,14,0.77
2018-08-26,15,0.75
2018-08-26,16,0.75
2018-08-26,17,0.84
2018-08-26,18,0.76
2018-08-26,19,0.78
2018-08-26,20,0.71
2018-08-26,21,0.80
2018-08-26,22,0.79
2018-08-26,23,0.81
2018-08-27,00,0.80
2018-08-27,01,0.76
2018-08-27,02,0.88
2018-08-27,03,0.80
2018-08-27,04,0.87
2018-08-27,05,0.73
2018-08-27,06,0.87
2018-08-27,07,1.57
2018-08-27,08,1.83
2018-08-27,09,1.83
2018-08-27,10,2.00
2018-08-27,11,1.91
2018-08-27,12,1.94
2018-08-27,13,1.97
2018-08-27,14,2.03
2018-08-27,15,0.56
2018-08-27,16,0.56
2018-08-27,17,0.52
2018-08-27,18,0.50
2018-08-27,19,0.54
2018-08-27,20,0.63
2018-08-27,21,0.51
2018-08-27,22,0.50
2018-08-27,23,0.54
2018-08-28,00,0.66
2018-08-28,01,0.57
2018-08-28,02,0.49
2018-08-28,03,0.53
2018-08-28,04,0.50
2018-08-28,05,0.54
2018-08-28,06,0.53
2018-08-28,07,1.13
2018-08-28,08,1.58
2018-08-28,09,1.60
2018-08-28,10,1.78
2018-08-28,11,1.85
2018-08-28,12,1.83
2018-08-28,13,1.82
2018-08-28,14,1.52
2018-08-28,15,0.40
2018-08-28,16,0.48
2018-08-28,17,0.43
2018-08-28,18,0.46
2018-08-28,19,0.40
2018-08-28,20,0.59
2018-08-28,21,0.47
2018-08-28,22,0.39
2018-08-28,23,0.56
2018-08-29,00,0.48
2018-08-29,01,0.47
2018-08-29,02,0.43
2018-08-29,03,0.42
2018-08-29,04,0.41
2018-08-29,05,0.49
2018-08-29,06,0.44
2018-08-29,07,1.75
2018-08-29,08,1.99
2018-08-29,09,2.21
2018-08-29,10,2.37
2018-08-29,11,2.37
2018-08-29,12,2.10
2018-08-29,13,2.20
2018-08-29,14,1.39
2018-08-29,15,1.12
2018-08-29,16,0.75
2018-08-29,17,0.38
2018-08-29,18,0.49
2018-08-29,19,0.49
2018-08-29,20,0.49
2018-08-29,21,0.37
2018-08-29,22,0.36
2018-08-29,23,0.46
2018-08-30,00,0.40
2018-08-30,01,0.34
2018-08-30,02,0.35
2018-08-30,03,0.39
2018-08-30,04,0.46
2018-08-30,05,0.34
2018-08-30,06,0.34
2018-08-30,07,1.10
2018-08-30,08,2.01
2018-08-30,09,1.92
2018-08-30,10,2.01
2018-08-30,11,1.84
2018-08-30,12,1.79
2018-08-30,13,1.74
2018-08-30,14,1.39
2018-08-30,15,0.38
2018-08-30,16,0.36
2018-08-30,17,0.38
2018-08-30,18,0.58
2018-08-30,19,0.39
2018-08-30,20,0.37
2018-08-30,21,0.38
2018-08-30,22,0.42
2018-08-30,23,0.38
2018-08-31,00,0.39
2018-08-31,01,0.37
2018-08-31,02,0.35
2018-08-31,03,0.42
2018-08-31,04,0.42
2018-08-31,05,0.34
2018-08-31,06,0.33
2018-08-31,07,1.09
2018-08-31,08,2.46
2018-08-31,09,2.67
2018-08-31,10,2.54
2018-08-31,11,2.44
2018-08-31,12,2.26
2018-08-31,13,2.30
2018-08-31,14,1.92
2018-08-31,15,0.48
2018-08-31,16,0.50
2018-08-31,17,0.46
2018-08-31,18,0.48
2018-08-31,19,0.51
2018-08-31,20,0.47
2018-08-31,21,0.48
2018-08-31,22,0.44
2018-08-31,23,0.61
2018-09-01,00,0.49
2018-09-01,01,0.46
2018-09-01,02,0.47
2018-09-01,03,0.42
2018-09-01,04,0.54
2018-09-01,05,0.47
2018-09-01,06,0.44
2018-09-01,07,0.40
2018-09-01,08,0.41
2018-09-01,09,0.59
2018-09-01,10,0.54
2018-09-01,11,0.51
2018-09-01,12,0.61
2018-09-01,13,0.35
2018-09-01,14,0.37
2018-09-01,15,0.41
2018-09-01,16,0.39
2018-09-01,17,0.37
2018-09-01,18,0.33
2018-09-01,19,0.33
2018-09-01,20,0.45
2018-09-01,21,0.38
2018-09-01,22,0.35
2018-09-01,23,0.33
2018-09-02,00,0.32
2018-09-02,01,0.41
2018-09-02,02,0.43
2018-09-02,03,0.33
2018-09-02,04,0.35
2018-09-02,05,0.36
2018-09-02,06,0.32
2018-09-02,07,0.33
2018-09-02,08,0.40
2018-09-02,09,0.33
2018-09-02,10,0.40
2018-09-02,11,0.38
2018-09-02,12,0.32
2018-09-02,13,0.33
2018-09-02,14,0.49
2018-09-02,15,0.41
2018-09-02,16,0.34
2018-09-02,17,0.33
2018-09-02,18,0.38
2018-09-02,19,0.44
2018-09-02,20,0.36
2018-09-02,21,0.33
2018-09-02,22,0.39
2018-09-02,23,0.37
2018-09-03,00,0.42
2018-09-03,01,0.36
2018-09-03,02,0.39
2018-09-03,03,0.38
2018-09-03,04,0.32
2018-09-03,05,0.35
2018-09-03,06,0.44
2018-09-03,07,0.36
2018-09-03,08,0.34
2018-09-03,09,0.57
2018-09-03,10,0.50
2018-09-03,11,0.56
2018-09-03,12,0.53
2018-09-03,13,0.33
2018-09-03,14,
2018-09-03,15,0.35
2018-09-03,16,0.42
2018-09-03,17,0.43
2018-09-03,18,0.34
2018-09-03,19,0.35
2018-09-03,20,0.36
2018-09-03,21,0.42
2018-09-03,22,0.37
2018-09-03,23,0.31
2018-09-04,00,0.37
2018-09-04,01,0.37
2018-09-04,02,0.45
2018-09-04,03,0.34
2018-09-04,04,0.33
2018-09-04,05,0.46
2018-09-04,06,0.43
2018-09-04,07,0.35
2018-09-04,08,1.38
2018-09-04,09,2.49
2018-09-04,10,2.90
2018-09-04,11,3.13
2018-09-04,12,2.96
2018-09-04,13,2.67
2018-09-04,14,2.46
2018-09-04,15,0.75
2018-09-04,16,0.47
2018-09-04,17,1.47
2018-09-04,18,1.12
2018-09-04,19,0.93
2018-09-04,20,0.92
2018-09-04,21,0.91
2018-09-04,22,1.03
2018-09-04,23,0.94
2018-09-05,00,0.92
2018-09-05,01,0.92
2018-09-05,02,1.01
2018-09-05,03,0.99
2018-09-05,04,0.97
2018-09-05,05,0.98
2018-09-05,06,0.92
2018-09-05,07,1.38
2018-09-05,08,2.33
2018-09-05,09,3.00
2018-09-05,10,2.63
2018-09-05,11,2.79
2018-09-05,12,3.06
2018-09-05,13,2.84
2018-09-05,14,2.34
2018-09-05,15,0.38
2018-09-05,16,0.37
2018-09-05,17,0.49
2018-09-05,18,1.43
2018-09-05,19,1.35
2018-09-05,20,0.39
2018-09-05,21,0.48
2018-09-05,22,0.38
2018-09-05,23,0.36
2018-09-06,00,0.36
2018-09-06,01,0.61
2018-09-06,02,0.42
2018-09-06,03,0.35
2018-09-06,04,0.38
2018-09-06,05,0.39
2018-09-06,06,0.43
2018-09-06,07,1.14
2018-09-06,08,1.59
2018-09-06,09,2.43
2018-09-06,10,3.02
2018-09-06,11,4.16
2018-09-06,12,4.44
2018-09-06,13,4.20
2018-09-06,14,4.86
2018-09-06,15,0.95
2018-09-06,16,0.68
2018-09-06,17,0.50
2018-09-06,18,0.49
2018-09-06,19,0.51
2018-09-06,20,0.60
2018-09-06,21,0.49
2018-09-06,22,0.51
2018-09-06,23,0.51
2018-09-07,00,0.61
2018-09-07,01,0.54
2018-09-07,02,0.55
2018-09-07,03,0.55
2018-09-07,04,0.56
2018-09-07,05,0.56
2018-09-07,06,0.49
2018-09-07,07,1.58
2018-09-07,08,1.77
2018-09-07,09,2.74
2018-09-07,10,2.80
2018-09-07,11,2.84
2018-09-07,12,2.97
2018-09-07,13,3.54
2018-09-07,14,2.92
2018-09-07,15,0.58
2018-09-07,16,0.80
2018-09-07,17,2.78
2018-09-07,18,3.16
2018-09-07,19,3.12
2018-09-07,20,3.09
2018-09-07,21,3.12
2018-09-07,22,3.09
2018-09-07,23,3.24
2018-09-08,00,3.16
2018-09-08,01,3.22
2018-09-08,02,3.21
2018-09-08,03,3.24
2018-09-08,04,3.26
2018-09-08,05,3.22
2018-09-08,06,3.18
2018-09-08,07,3.11
2018-09-08,08,3.25
2018-09-08,09,2.81
2018-09-08,10,1.46
2018-09-08,11,3.91
2018-09-08,12,4.21
2018-09-08,13,4.05
2018-09-08,14,3.92
2018-09-08,15,3.49
2018-09-08,16,3.12
2018-09-08,17,3.10
2018-09-08,18,3.12
2018-09-08,19,3.09
2018-09-08,20,3.05
2018-09-08,21,
2018-09-08,22,3.18
2018-09-08,23,3.14
2018-09-09,00,3.18
2018-09-09,01,3.17
2018-09-09,02,3.21
2018-09-09,03,3.33
2018-09-09,04,3.18
2018-09-09,05,3.15
2018-09-09,06,3.14
2018-09-09,07,3.12
2018-09-09,08,3.19
2018-09-09,09,2.32
2018-09-09,10,2.17
2018-09-09,11,3.29
2018-09-09,12,3.19
2018-09-09,13,4.33
2018-09-09,14,4.05
2018-09-09,15,2.99
2018-09-09,16,2.98
2018-09-09,17,2.96
2018-09-09,18,3.05
2018-09-09,19,2.96
2018-09-09,20,2.96
2018-09-09,21,3.00
2018-09-09,22,3.05
2018-09-09,23,3.15
2018-09-10,00,3.23
2018-09-10,01,3.18
2018-09-10,02,3.17
2018-09-10,03,3.18
2018-09-10,04,3.25
2018-09-10,05,3.10
2018-09-10,06,2.88
2018-09-10,07,2.15
2018-09-10,08,1.46
2018-09-10,09,2.68
2018-09-10,10,4.19
2018-09-10,11,5.43
2018-09-10,12,5.39
2018-09-10,13,4.38
2018-09-10,14,3.59
2018-09-10,15,1.55
2018-09-10,16,0.53
2018-09-10,17,0.49
2018-09-10,18,0.49
2018-09-10,19,0.61
2018-09-10,20,0.52
2018-09-10,21,0.49
2018-09-10,22,0.50
2018-09-10,23,0.53
2018-09-11,00,0.59
2018-09-11,01,0.53
2018-09-11,02,0.50
2018-09-11,03,0.53
2018-09-11,04,0.52
2018-09-11,05,0.52
2018-09-11,06,0.54
2018-09-11,07,1.56
2018-09-11,08,2.12
2018-09-11,09,3.31
2018-09-11,10,3.49
2018-09-11,11,3.72
2018-09-11,12,3.51
2018-09-11,13,4.31
2018-09-11,14,2.94
2018-09-11,15,0.69
2018-09-11,16,0.81
2018-09-11,17,0.78
2018-09-11,18,0.59
2018-09-11,19,0.64
2018-09-11,20,0.61
2018-09-11,21,0.57
2018-09-11,22,0.56
2018-09-11,23,0.60
2018-09-12,00,0.66
2018-09-12,01,0.55
2018-09-12,02,0.59
2018-09-12,03,0.59
2018-09-12,04,0.60
2018-09-12,05,0.59
2018-09-12,06,0.58
2018-09-12,07,0.70
2018-09-12,08,0.67
2018-09-12,09,1.67
2018-09-12,10,2.94
2018-09-12,11,3.04
2018-09-12,12,2.87
2018-09-12,13,3.66
2018-09-12,14,2.12
2018-09-12,15,0.90
2018-09-12,16,0.80
2018-09-12,17,0.73
2018-09-12,18,0.74
2018-09-12,19,0.87
2018-09-12,20,0.76
2018-09-12,21,0.74
2018-09-12,22,0.76
2018-09-12,23,0.85
2018-09-13,00,0.80
2018-09-13,01,0.83
2018-09-13,02,0.81
2018-09-13,03,0.77
2018-09-13,04,0.87
2018-09-13,05,0.77
2018-09-13,06,0.74
2018-09-13,07,0.90
2018-09-13,08,0.95
2018-09-13,09,1.86
2018-09-13,10,2.31
2018-09-13,11,1.55
2018-09-13,12,1.47
2018-09-13,13,1.09
2018-09-13,14,0.76
2018-09-13,15,0.62
2018-09-13,16,0.62
2018-09-13,17,0.66
2018-09-13,18,0.69
2018-09-13,19,0.67
2018-09-13,20,2.00
2018-09-13,21,2.03
2018-09-13,22,2.13
2018-09-13,23,2.09
2018-09-14,00,2.07
2018-09-14,01,2.10
2018-09-14,02,2.18
2018-09-14,03,2.16
2018-09-14,04,2.10
2018-09-14,05,2.09
2018-09-14,06,2.11
2018-09-14,07,2.17
2018-09-14,08,2.37
2018-09-14,09,2.62
2018-09-14,10,3.86
2018-09-14,11,2.93
2018-09-14,12,2.39
2018-09-14,13,2.58
2018-09-14,14,2.37
2018-09-14,15,2.09
2018-09-14,16,2.06
2018-09-14,17,2.04
2018-09-14,18,2.04
2018-09-14,19,2.11
